,,,,,,,,,,,,,,,,,,,,
,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
,Carlik Jones,DEN,24,6-0,174,Louisville,USA,Undrafted,Undrafted,Undrafted,5,0.8,0.6,1.0,-33.1,4.2%,6.9%,22.0%,20.2%,41.7%
,Carmelo Anthony,LAL,37,6-7,238,Syracuse,USA,2003,1,3,59,13.6,4.2,1.0,-1.7,3.3%,11.5%,19.3%,59.1%,5.6%
,Cassius Stanley,DET,22,6-5,190,Duke,USA,2020,2,54,9,5.8,2.1,0.4,-4.3,2.8%,8.4%,14.8%,51.6%,4.3%
,Cassius Winston,WAS,24,6-1,185,Michigan State,USA,2020,2,53,5,2.0,0.0,1.0,-2.8,0.0%,0.0%,13.6%,72.7%,25.0%
,Cat Barber,ATL,27,6-1,173,North Carolina State,USA,2016,,,3,0.0,1.0,1.0,34.6,9.1%,28.6%,21.9%,0.0%,20.0%
,Cedi Osman,CLE,26,6-7,230,None,Turkey,2015,2,31,55,11.2,2.2,2.1,-0.7,1.5%,7.7%,20.8%,55.3%,14.3%
,Chandler Hutchison,PHX,25,6-6,210,Boise State,USA,2018,1,22,6,0.7,0.8,0.3,27.3,0.0%,16.7%,11.1%,69.4%,10.5%
,Charles Bassey,PHI,21,6-9,230,Western Kentucky,Nigeria,2021,2,53,23,3.0,2.7,0.3,-8.8,12.4%,23.3%,15.2%,66.0%,7.0%
,Charlie Brown Jr.,PHI,25,6-6,199,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,19,1.6,1.7,0.3,-3.8,6.9%,9.0%,10.9%,34.6%,4.7%
,Chaundee Brown Jr.,ATL,23,6-5,215,Michigan,USA,Undrafted,Undrafted,Undrafted,5,6.2,3.2,0.8,-8.7,0.9%,13.9%,14.6%,44.7%,5.6%
,Cheick Diallo,DET,25,6-8,219,Kansas,Mali,2016,2,33,3,3.7,4.0,0.0,-50.7,9.8%,29.6%,14.5%,51.7%,0.0%
,Chimezie Metu,SAC,24,6-9,225,Southern California,USA,2018,2,49,47,8.6,5.6,1.1,-5.3,2.9%,23.0%,18.3%,53.1%,7.6%
,Chris Boucher,TOR,29,6-9,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,65,9.1,6.0,0.3,5.5,9.6%,18.1%,17.0%,57.7%,2.2%
,Chris Chiozza,GSW,26,5-11,175,Florida,USA,Undrafted,Undrafted,Undrafted,29,2.0,1.1,2.0,-7.0,2.8%,7.5%,13.0%,41.3%,27.3%
,Chris Duarte,IND,24,6-5,190,Oregon,Dominican Rep...,2021,1,13,54,13.2,4.1,2.1,-1.6,2.5%,11.7%,20.8%,53.8%,11.1%
,Chris Paul,PHX,36,6-0,175,Wake Forest,USA,2005,1,4,58,14.9,4.5,10.7,10.5,0.9%,11.7%,20.0%,57.9%,42.8%
,Chris Silva,MIA,25,6-8,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,10,2.6,3.6,0.7,-16.1,12.7%,27.4%,12.3%,64.1%,13.0%
,Christian Wood,HOU,26,6-9,214,UNLV,USA,Undrafted,Undrafted,Undrafted,61,17.7,10.2,2.3,-9.9,5.5%,26.1%,23.1%,58.0%,12.1%
,Chuma Okeke,ORL,23,6-6,229,Auburn,USA,2019,1,16,58,8.3,4.8,1.7,-8.1,2.5%,16.5%,15.9%,50.2%,10.9%
,Clint Capela,ATL,27,6-10,256,None,Switzerland,2014,1,25,59,10.7,11.9,1.3,2.0,13.1%,28.5%,14.6%,59.6%,6.6%
,Coby White,CHI,22,6-4,195,North Carolina,USA,2019,1,7,47,13.5,3.2,3.0,0.6,1.3%,9.9%,19.3%,58.1%,14.6%
,Cody Martin,CHA,26,6-6,205,Nevada-Reno,USA,2019,2,36,57,8.2,4.0,2.5,0.4,4.1%,10.6%,12.7%,57.1%,12.1%
,Cody Zeller,POR,29,6-11,240,Indiana,USA,2013,1,4,27,5.2,4.6,0.8,-2.1,12.8%,21.2%,15.3%,62.7%,8.7%
,Cole Anthony,ORL,21,6-3,185,North Carolina,USA,2020,1,15,55,17.3,5.6,5.7,-4.8,1.6%,14.7%,24.8%,52.2%,27.5%
,Collin Sexton,CLE,23,6-1,190,Alabama,USA,2018,1,8,11,16.0,3.3,2.1,-5.8,4.1%,6.6%,26.4%,52.3%,12.5%
,Corey Kispert,WAS,23,6-6,224,Gonzaga,USA,2021,1,15,61,7.3,2.7,1.0,1.6,3.5%,8.7%,14.4%,56.5%,6.5%
,Cory Joseph,DET,30,6-3,200,Texas-Austin,Canada,2011,1,29,57,8.0,2.6,3.8,-7.6,1.8%,8.8%,14.0%,58.0%,22.8%
,Craig Sword,WAS,28,6-3,196,Mississippi State,USA,Undrafted,Undrafted,Undrafted,3,2.0,0.0,0.3,8.3,0.0%,0.0%,12.5%,75.0%,10.0%
,D'Angelo Russell,MIN,26,6-4,193,Ohio State,USA,2015,1,2,54,18.8,3.4,7.2,6.4,1.1%,8.9%,25.1%,54.9%,32.7%
,D.J. Augustin,LAL,34,5-11,183,Texas-Austin,USA,2008,1,9,40,5.3,1.3,2.2,-12.8,1.4%,6.9%,15.0%,59.8%,21.0%
,D.J. Wilson,TOR,26,6-10,231,Michigan,USA,2017,1,17,4,7.5,4.0,1.3,-16.5,1.7%,23.8%,15.9%,77.3%,14.7%
,DaQuan Jeffries,MEM,24,6-5,222,Tulsa,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0.3,-10.5,0.0%,25.0%,9.1%,50.0%,16.7%
,Daishen Nix,HOU,20,6-4,226,None,USA,Undrafted,Undrafted,Undrafted,12,3.8,1.1,1.8,0.9,1.7%,10.0%,16.5%,62.2%,23.9%
,Dakota Mathias,MEM,26,6-4,200,Purdue,USA,2018,,,6,1.0,0.3,0.2,-25.4,0.0%,15.4%,15.0%,50.0%,12.5%
,Dalano Banton,TOR,22,6-7,204,Nebraska,Canada,2021,2,46,57,3.4,2.0,1.6,2.4,4.6%,12.3%,16.1%,45.9%,19.4%
,Damian Jones,SAC,26,6-11,245,Vanderbilt,USA,2016,1,30,45,6.4,3.9,1.1,-5.1,7.9%,16.2%,15.3%,67.4%,10.5%
,Damian Lillard,POR,31,6-2,195,Weber State,USA,2012,1,6,29,24.0,4.1,7.3,-1.8,1.2%,10.4%,28.8%,55.0%,32.1%
,Damion Lee,GSW,29,6-5,210,Drexel,USA,Undrafted,Undrafted,Undrafted,53,7.6,3.1,1.0,2.1,2.0%,13.1%,15.7%,57.4%,7.1%
,Damyean Dotson,NYK,27,6-5,210,Houston,USA,2017,2,44,2,2.0,1.0,0.5,-0.8,0.0%,11.1%,8.9%,50.0%,7.1%
,Daniel Gafford,WAS,23,6-9,234,Arkansas,USA,2019,2,38,57,9.2,5.9,1.0,-5.9,11.5%,16.5%,15.6%,70.1%,7.5%
,Daniel Oturu,TOR,22,6-8,240,Minnesota,USA,2020,2,33,3,3.0,1.7,0.0,-36.8,3.6%,14.8%,12.5%,54.9%,0.0%
,Daniel Theis,BOS,29,6-9,245,None,Germany,Undrafted,Undrafted,Undrafted,34,7.3,4.7,0.8,-13.1,5.1%,16.7%,16.2%,56.3%,7.3%
,Danilo Gallinari,ATL,33,6-10,236,None,Italy,2008,1,6,56,11.0,4.6,1.4,2.4,2.2%,16.4%,17.8%,57.8%,8.1%
,Danny Green,PHI,34,6-6,215,North Carolina,USA,2009,2,46,46,6.1,2.4,1.0,4.7,2.3%,8.3%,12.4%,56.4%,6.2%
,Danuel House Jr.,UTA,28,6-6,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,35,5.6,2.6,1.2,-3.9,2.3%,12.6%,14.5%,56.0%,10.5%
,Darius Bazley,OKC,21,6-8,208,None,USA,2019,1,23,62,10.0,6.5,1.4,-10.3,3.5%,18.0%,17.4%,50.0%,7.7%
,Darius Garland,CLE,22,6-1,192,Vanderbilt,USA,2019,1,5,53,21.1,3.4,8.2,6.8,1.6%,7.8%,27.1%,58.4%,37.5%
,Darren Collison,LAL,34,6-0,160,UCLA,USA,2009,1,21,3,1.3,1.3,0.7,-18.4,0.0%,9.1%,7.7%,28.6%,6.3%
