,,,,,,,,
,PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
,"
Jae
Crowder",PHX,99,F,6-6,235 lbs,Marquette,USA
,"
Jarrett
Culver",MEM,23,G-F,6-6,195 lbs,Texas Tech,USA
,"
Jarron
Cumberland",,,G,6-5,205 lbs,Cincinnati,USA
,"
Cade
Cunningham",DET,2,G,6-6,220 lbs,Oklahoma State,USA
,"
Seth
Curry",BKN,30,G,6-2,185 lbs,Duke,USA
,"
Stephen
Curry",GSW,30,G,6-2,185 lbs,Davidson,USA
,"
Anthony
Davis",LAL,3,F-C,6-10,253 lbs,Kentucky,USA
,"
Ed
Davis",CLE,21,C-F,6-9,218 lbs,North Carolina,USA
,"
Terence
Davis",SAC,3,G,6-4,201 lbs,Mississippi,USA
,"
Javin
DeLaurier",,,C,6-10,234 lbs,Duke,USA
,"
DeMar
DeRozan",CHI,11,G-F,6-6,220 lbs,Southern California,USA
,"
Gabriel
Deck",,,F,6-6,231 lbs,,Argentina
,"
Dewayne
Dedmon",MIA,21,C,7-0,245 lbs,Southern California,USA
,"
Sam
Dekker",,,F,6-8,219 lbs,Wisconsin,USA
,"
Donte
DiVincenzo",SAC,0,G,6-4,203 lbs,Villanova,USA
,"
Mamadi
Diakite",,,F,6-9,228 lbs,Virginia,Guinea
,"
Cheick
Diallo",,,F-C,6-8,219 lbs,Kansas,Mali
,"
Hamidou
Diallo",DET,6,G,6-5,202 lbs,Kentucky,USA
,"
Gorgui
Dieng",ATL,10,C,6-10,248 lbs,Louisville,Senegal
,"
Spencer
Dinwiddie",DAL,26,G,6-6,215 lbs,Colorado,USA
,"
Luka
Doncic",DAL,77,F-G,6-7,230 lbs,Real Madrid,Slovenia
,"
Luguentz
Dort",OKC,5,G,6-3,215 lbs,Arizona State,Canada
,"
Ayo
Dosunmu",CHI,12,G,6-4,200 lbs,Illinois,USA
,"
Damyean
Dotson",,,G,6-5,210 lbs,Houston,USA
,"
Devon
Dotson",,,G,6-1,185 lbs,Kansas,USA
,"
Sekou
Doumbouya",,,F,6-9,230 lbs,,France
,"
Jeff
Dowtin",,,G,6-3,177 lbs,Rhode Island,USA
,"
P.J.
Dozier",,,G-F,6-6,205 lbs,South Carolina,USA
,"
Goran
Dragic",BKN,9,G,6-3,190 lbs,Union Olimpija,Slovenia
,"
Andre
Drummond",BKN,0,C,6-10,279 lbs,Connecticut,USA
,"
Chris
Duarte",IND,3,G,6-5,190 lbs,Oregon,Dominican Republic
,"
David
Duke Jr.",BKN,6,G,6-4,204 lbs,Providence,USA
,"
Kevin
Durant",BKN,7,F,6-10,240 lbs,Texas-Austin,USA
,"
Jaime
Echenique",,,C,6-10,258 lbs,Wichita State,Colombia
,"
Anthony
Edwards",MIN,1,G,6-4,225 lbs,Georgia,USA
,"
Kessler
Edwards",BKN,14,F,6-7,203 lbs,Pepperdine,USA
,"
Rob
Edwards",,,G,6-5,205 lbs,Arizona State,USA
,"
CJ
Elleby",POR,16,F-G,6-6,200 lbs,Washington State,USA
,"
Wayne
Ellington",LAL,2,G,6-4,207 lbs,North Carolina,USA
,"
Joel
Embiid",PHI,21,C-F,7-0,280 lbs,Kansas,Cameroon
,"
James
Ennis III",,,F,6-6,215 lbs,Cal State-Long Beach,USA
,"
Drew
Eubanks",,,F-C,6-9,245 lbs,Oregon State,USA
,"
Tacko
Fall",,,C,7-6,311 lbs,Central Florida,Senegal
,"
Derrick
Favors",OKC,15,F,6-9,265 lbs,Georgia Tech,USA
,"
Bruno
Fernando",HOU,20,F-C,6-9,240 lbs,Maryland,Angola
,"
Dorian
Finney-Smith",DAL,10,F,6-7,220 lbs,Florida,USA
,"
Malik
Fitts",BOS,8,F,6-5,230 lbs,St. Mary's College,USA
,"
Malachi
Flynn",TOR,22,G,6-1,175 lbs,San Diego State,USA
,"
Bryn
Forbes",DEN,6,G,6-2,205 lbs,Michigan State,USA
,"
Aleem
Ford",,,F,6-8,220 lbs,Wisconsin,USA
,"
Trent
Forrest",UTA,3,G,6-4,210 lbs,Florida State,USA
,"
Evan
Fournier",NYK,13,G-F,6-6,205 lbs,Poitiers Basket 86,France
,"
De'Aaron
Fox",SAC,5,G,6-3,185 lbs,Kentucky,USA
,"
Tim
Frazier",,,G,6-0,170 lbs,Penn State,USA
,"
Enes
Freedom",,,C,6-10,250 lbs,,Turkey
,"
Markelle
Fultz",ORL,20,G,6-4,209 lbs,Washington,USA
,"
Wenyen
Gabriel",LAL,35,F,6-9,205 lbs,Kentucky,South Sudan
,"
Daniel
Gafford",WAS,21,F-C,6-9,234 lbs,Arkansas,USA
,"
Danilo
Gallinari",ATL,8,F,6-10,236 lbs,Olimpia Milano,Italy
,"
Langston
Galloway",,,G,6-1,200 lbs,St. Joseph's (PA),USA
,"
Darius
Garland",CLE,10,G,6-1,192 lbs,Vanderbilt,USA
,"
Marcus
Garrett",,,G,6-5,205 lbs,Kansas,USA
,"
Usman
Garuba",HOU,16,F,6-8,229 lbs,Real Madrid,Spain
,"
Luka
Garza",DET,55,C,6-10,243 lbs,Iowa,USA
,"
Rudy
Gay",UTA,8,F-G,6-8,250 lbs,Connecticut,USA
,"
Paul
George",LAC,13,F,6-8,220 lbs,Fresno State,USA
,"
Taj
Gibson",NYK,67,F,6-9,232 lbs,Southern California,USA
,"
Josh
Giddey",OKC,3,G,6-8,205 lbs,NBA Global Academy,Australia
,"
Shai
Gilgeous-Alexander",OKC,2,G,6-6,180 lbs,Kentucky,Canada
,"
Anthony
Gill",WAS,16,F,6-7,230 lbs,Virginia,USA
,"
Freddie
Gillespie",,,C,6-9,245 lbs,Baylor,USA
,"
Rudy
Gobert",UTA,27,C,7-1,258 lbs,Cholet,France
,"
Brandon
Goodwin",CLE,0,G,6-0,180 lbs,Florida Gulf Coast,USA
,"
Jordan
Goodwin",,,G,6-3,200 lbs,St. Louis,USA
,"
Aaron
Gordon",DEN,50,F,6-8,235 lbs,Arizona,USA
